"Name";"Area"
"Arabian Sea";1491000
"Arctic";5427000
"Atlantic";41100000
"Bass Strait";0
"East River";0
"Euripus Strait";0
"Indian";27240000
"Mozambique Channel";0
"Nares Strait";0
"Pacific";63800000
"Southern";7849000
"Strait Titicaca";3232
"Tyrrhenian Sea";106200
