cast_id,character,credit_id,gender,id,name,order,movieid
7,Angelica Teach,52fe431cc3a36847f803aef5,1,955,Pen\u00e9lope Cruz,1,1865
2,"Captain Edward \""Blackbeard\"" Teach",52fe431cc3a36847f803aed9,2,6972,Ian McShane,2,1865
13,Joshamee Gibbs,52fe431cc3a36847f803af09,2,2449,Kevin McNally,3,1865
8,Captain Hector Barbossa,52fe431cc3a36847f803aef9,2,118,Geoffrey Rush,4,1865
21,Philip Swift,52fe431cc3a36847f803af2d,2,237455,Sam Claflin,5,1865
4,Agent J,52fe45b7c3a36847f80d6875,2,2888,Will Smith,0,41154
5,Agent K,52fe45b7c3a36847f80d6879,2,2176,Tommy Lee Jones,1,41154
6,Young Agent K,52fe45b7c3a36847f80d687d,2,16851,Josh Brolin,2,41154
15,Griffin,52fe45b7c3a36847f80d68a9,2,72873,Michael Stuhlbarg,3,41154
10,Agent O,52fe45b7c3a36847f80d6893,1,7056,Emma Thompson,4,41154
31,Boris The Animal,52fe45b7c3a36847f80d6901,0,55936,Jemaine Clement,5,41154
10,Bilbo Baggins,52fe4a87c3a368484e158b93,2,7060,Martin Freeman,0,122917
20,Gandalf,52fe4a87c3a368484e158bb7,2,1327,Ian McKellen,1,122917
17,Thorin Oakenshield,52fe4a87c3a368484e158bab,2,30315,Richard Armitage,2,122917
30,Balin,52fe4a88c3a368484e158bdf,2,25136,Ken Stott,3,122917
27,Dwalin,52fe4a87c3a368484e158bd3,2,95047,Graham McTavish,4,122917
35,Bifur,52fe4a88c3a368484e158bf3,2,67123,William Kircher,5,122917
56,Peter Parker / Spider-Man,531325d5c3a368299b0040db,2,37625,Andrew Garfield,0,1930
57,Gwen Stacy,531325e8c3a36829ef003f5b,1,54693,Emma Stone,1,1930
58,Dr. Curt Connors / The Lizard,53132617c3a3682a10003f35,2,7026,Rhys Ifans,2,1930
59,Captain Stacy,53132630c3a3682a02003f68,2,5724,Denis Leary,3,1930
62,Richard Parker,5362ad880e0a261df80003b3,2,55152,Campbell Scott,4,1930
60,Rajit Ratha,53132647c3a368299b0040e8,2,76793,Irrfan Khan,5,1930
1,Robin Longstride,52fe43f2c3a368484e007699,2,934,Russell Crowe,0,20662
2,Marion Loxley,52fe43f2c3a368484e00769d,1,112,Cate Blanchett,1,20662
14,Sir Walter Loxley,52fe43f2c3a368484e0076dd,2,2201,Max von Sydow,2,20662
13,William Marshal,52fe43f2c3a368484e0076d9,2,227,William Hurt,3,20662
12,Godfrey,52fe43f2c3a368484e0076d5,2,2983,Mark Strong,4,20662
15,Prince John,52fe43f2c3a368484e0076e1,2,25072,Oscar Isaac,5,20662
3,Bilbo Baggins,52fe4926c3a36847f818b775,2,7060,Martin Freeman,0,57158
7,Gandalf,52fe4926c3a36847f818b779,2,1327,Ian McKellen,1,57158
26,Thorin Oakenshield,52fe4926c3a36847f818b7c9,2,30315,Richard Armitage,2,57158
35,Balin,52fe4926c3a36847f818b7e9,2,25136,Ken Stott,3,57158
36,Dwalin,52fe4926c3a36847f818b7ed,2,95047,Graham McTavish,4,57158
33,Bifur,52fe4926c3a36847f818b7e1,2,67123,William Kircher,5,57158
43,Lyra Belacqua,52fe4348c3a36847f80486af,1,45589,Dakota Blue Richards,0,2268
21,Marisa Coulter,52fe4348c3a36847f8048651,1,2227,Nicole Kidman,1,2268
